NUM_ORIGIN,NUM_SUB,AREA_ORIGIN,AREA_SUB,AREA_SUB_ORIGINAL,COMPRIMENTO_ORIGIN,COMPRIMENTO_SUB,LARGURA_ORIGIN,LARGURA_SUB,ALTURA_ORIGIN,ALTURA_SUB,CIRCULARIDADE_SUB,REGIAO_P,MEDIA_REGIAO_P,REGIAO_N,MEDIA_REGIAO_N,REGIAO_S,MEDIA_REGIAO_S,REGIAO_L,MEDIA_REGIAO_L,REGIAO_O,MEDIA_REGIAO_O,REGIAO_NO,MEDIA_REGIAO_NO,REGIAO_NL,MEDIA_REGIAO_NL,REGIAO_SO,MEDIA_REGIAO_SO,REGIAO_SL,MEDIA_REGIAO_SL,QTD_REGIOES
10,58,131072,800,99.3896484375,1024,25,512,25,256,32,0.7518659201107234,Claro,0.92375,Claro,0.4675,Claro,0.8525,Claro,0.6640625,Claro,0.96875,Claro,0.7135416666666666,Cinza,0.546875,Claro,0.7708333333333334,Claro,0.6822916666666666,8
10,59,131072,180,99.8626708984375,1024,15,512,15,256,12,0.3964347431420956,Cinza,0.8388888888888889,Cinza,0.8777777777777778,Cinza,0.9888888888888889,Cinza,0.8809523809523809,Cinza,0.5833333333333334,Cinza,0.6666666666666666,Cinza,0.5714285714285714,Cinza,0.8095238095238095,Cinza,0.9761904761904762,9
10,60,131072,255,99.80545043945312,1024,17,512,17,256,15,0.6573748326509692,Claro,0.9882352941176471,Claro,0.5294117647058824,Claro,1.0,Claro,1.0,Claro,0.55,Claro,0.6428571428571429,Cinza,0.6428571428571429,Claro,0.75,Claro,1.0,8
10,61,131072,32,99.9755859375,1024,8,512,8,256,4,0.4749468318599995,Cinza,0.84375,Cinza,0.6875,Cinza,1.0,Cinza,1.0,Cinza,1.0,Cinza,0.625,Cinza,0.875,Cinza,0.75,Cinza,1.0,9
10,62,131072,3680,97.1923828125,1024,160,512,160,256,23,0.15956558553564387,Cinza,0.5524456521739131,Iguais,0,Cinza,0.7028409090909091,Escuro,0.43975155279503103,Cinza,0.5733695652173914,Iguais,0,Iguais,0,Cinza,0.8011363636363636,Escuro,0.6688311688311688,4
10,63,131072,4284,96.7315673828125,1024,84,512,84,256,51,0.5143549393814119,Claro,0.6514939309056956,Iguais,0,Claro,0.9052380952380953,Claro,0.5830999066293184,Claro,0.8370681605975724,Iguais,0,Iguais,0,Claro,0.7657142857142857,Cinza,0.6942857142857143,5
10,64,131072,806,99.38507080078125,1024,31,512,31,256,26,0.5391226902495897,Claro,0.7009925558312655,Iguais,0,Claro,0.771712158808933,Claro,0.9846153846153847,Cinza,0.7606837606837606,Iguais,0,Iguais,0,Cinza,1.0,Claro,0.7692307692307693,4
11,1,131072,522,99.60174560546875,1024,58,512,58,256,9,0.23437956125705148,Claro,0.7413793103448276,Cinza,0.7672413793103449,Claro,0.7586206896551724,Cinza,0.9080459770114943,Claro,0.5317460317460317,Cinza,0.9107142857142857,Cinza,0.9224137931034483,Cinza,0.5714285714285714,Cinza,0.7586206896551724,3
11,2,131072,12,99.9908447265625,1024,3,512,3,256,4,0.7445774015980187,Cinza,1.0,Cinza,1.0,Cinza,1.0,Cinza,1.0,Cinza,1.0,Cinza,1.0,Cinza,1.0,Cinza,1.0,Cinza,1.0,9
11,3,131072,242,99.81536865234375,1024,22,512,22,256,11,0.5183413278507387,Cinza,0.9008264462809917,Cinza,0.9090909090909091,Cinza,1.0,Cinza,0.9421487603305785,Cinza,0.8925619834710744,Cinza,0.8909090909090909,Cinza,1.0,Cinza,0.7272727272727273,Cinza,1.0,9
11,4,131072,210,99.83978271484375,1024,14,512,14,256,15,0.6298699680129559,Cinza,0.9714285714285714,Cinza,0.9591836734693877,Cinza,1.0,Cinza,0.9523809523809523,Cinza,0.9904761904761905,Cinza,0.9387755102040817,Cinza,1.0,Cinza,1.0,Cinza,1.0,9
11,5,131072,518,99.60479736328125,1024,37,512,37,256,14,0.4720658419636032,Claro,0.5598455598455598,Claro,0.7567567567567568,Cinza,0.6486486486486487,Cinza,0.8134920634920635,Cinza,0.7698412698412699,Claro,0.7380952380952381,Cinza,0.7063492063492064,Cinza,0.7857142857142857,Cinza,0.8095238095238095,3
11,6,131072,20,99.9847412109375,1024,4,512,4,256,5,0.7694642062268248,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,9
11,7,131072,4,99.9969482421875,1024,2,512,2,256,2,0.7853981902804831,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,9
11,8,131072,35,99.97329711914062,1024,5,512,5,256,7,0.5890486366543891,Claro,0.5142857142857142,Claro,1.0,Cinza,0.6,Claro,0.5714285714285714,Claro,0.7142857142857143,Claro,1.0,Claro,0.8333333333333334,Cinza,0.5,Claro,0.8333333333333334,7
11,9,131072,322,99.75433349609375,1024,23,512,23,256,14,0.5522061720645255,Claro,0.6335403726708074,Cinza,0.6459627329192547,Claro,0.6086956521739131,Cinza,0.6753246753246753,Cinza,0.7077922077922078,Cinza,0.8961038961038961,Cinza,0.7272727272727273,Claro,0.8961038961038961,Cinza,0.935064935064935,3
11,10,131072,140,99.8931884765625,1024,10,512,10,256,14,0.6981316838654555,Cinza,0.9928571428571429,Cinza,1.0,Cinza,0.9571428571428572,Cinza,1.0,Cinza,1.0,Cinza,1.0,Cinza,1.0,Cinza,1.0,Cinza,1.0,9
11,11,131072,484,99.6307373046875,1024,44,512,44,256,11,0.5026548245743669,Cinza,0.8429752066115702,Cinza,0.8454545454545455,Cinza,0.8636363636363636,Cinza,1.0,Cinza,0.9421487603305785,Cinza,0.9272727272727272,Cinza,0.6,Cinza,0.9272727272727272,Claro,0.6,8
11,12,131072,504,99.615478515625,1024,28,512,28,256,18,0.5495388743687335,Cinza,0.9702380952380952,Cinza,0.9920634920634921,Cinza,0.996031746031746,Cinza,0.9126984126984127,Cinza,0.9325396825396826,Cinza,0.9761904761904762,Cinza,0.9920634920634921,Cinza,0.9920634920634921,Cinza,0.9761904761904762,9
11,13,131072,195,99.85122680664062,1024,13,512,13,256,15,0.7382883204843302,Cinza,0.9846153846153847,Cinza,1.0,Cinza,1.0,Cinza,0.9888888888888889,Cinza,0.9888888888888889,Cinza,1.0,Cinza,0.9523809523809523,Cinza,1.0,Cinza,1.0,9
11,14,131072,168,99.871826171875,1024,21,512,21,256,8,0.5821441962513664,Claro,0.6904761904761905,Cinza,0.5833333333333334,Cinza,0.5357142857142857,Cinza,0.7125,Claro,0.775,Claro,0.6,Cinza,0.725,Cinza,0.775,Claro,0.575,4
11,15,131072,12,99.9908447265625,1024,2,512,2,256,6,0.5890486225480862,Claro,0.6666666666666666,Claro,1.0,Claro,0.8333333333333334,Claro,0.6666666666666666,Claro,0.6666666666666666,Claro,0.6666666666666666,Claro,1.0,Claro,1.0,Claro,0.6666666666666666,9
11,16,131072,24,99.981689453125,1024,6,512,6,256,4,0.4964154537533902,Cinza,0.6666666666666666,Cinza,1.0,Cinza,0.9166666666666666,Cinza,1.0,Cinza,0.5833333333333334,Cinza,0.6666666666666666,Cinza,1.0,Claro,0.8333333333333334,Cinza,0.8333333333333334,8
11,17,131072,342,99.73907470703125,1024,18,512,18,256,19,0.7391723585394504,Cinza,0.9619883040935673,Cinza,0.9938271604938271,Cinza,1.0,Cinza,0.9941520467836257,Cinza,0.9883040935672515,Cinza,1.0,Cinza,1.0,Cinza,1.0,Cinza,0.8518518518518519,9
11,18,131072,133,99.89852905273438,1024,19,512,19,256,7,0.34407210948143924,Cinza,0.7669172932330827,Cinza,0.47368421052631576,Cinza,0.8771929824561403,Cinza,0.873015873015873,Cinza,0.8571428571428571,Cinza,0.9259259259259259,Cinza,1.0,Cinza,1.0,Cinza,0.9259259259259259,9
11,19,131072,143,99.89089965820312,1024,13,512,13,256,11,0.779944009484966,Claro,0.7062937062937062,Claro,0.9076923076923077,Cinza,0.9076923076923077,Claro,0.9393939393939394,Iguais,0,Iguais,0,Claro,1.0,Iguais,0,Cinza,0.9333333333333333,4
11,20,131072,22,99.98321533203125,1024,22,512,22,256,1,0.13065224646309156,Claro,0.9545454545454546,Iguais,0,Iguais,0,Claro,0.5454545454545454,Claro,0.8181818181818182,Iguais,0,Iguais,0,Iguais,0,Iguais,0,3
11,21,131072,247,99.81155395507812,1024,19,512,19,256,13,0.642554735824476,Claro,0.5101214574898786,Claro,0.8596491228070176,Cinza,0.6666666666666666,Claro,0.5726495726495726,Claro,0.6923076923076923,Claro,0.7592592592592593,Cinza,0.6111111111111112,Claro,0.7037037037037037,Claro,0.5925925925925926,7
