NUM_ORIGIN,NUM_SUB,AREA_ORIGIN,AREA_SUB,AREA_SUB_ORIGINAL,COMPRIMENTO_ORIGIN,COMPRIMENTO_SUB,LARGURA_ORIGIN,LARGURA_SUB,ALTURA_ORIGIN,ALTURA_SUB,CIRCULARIDADE_SUB,QTD_REGIOES_ESCURO,QTD_REGIOES_CINZA,QTD_REGIOES_CLARO,QTD_REGIOES_IGUAIS,QTD_REGIOES_INDEFINIDO,MEDIA_REGIAO_P,MEDIA_REGIAO_N,MEDIA_REGIAO_S,MEDIA_REGIAO_L,MEDIA_REGIAO_O,MEDIA_REGIAO_NO,MEDIA_REGIAO_NL,MEDIA_REGIAO_SO,MEDIA_REGIAO_SL,QTD_REGIOES
30,4,131072,45,99.96566772460938,1024,9,512,9,256,5,0.3881265729755877,1,8,0,0,0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,8
30,5,131072,15,99.98855590820312,1024,15,512,15,256,1,0.18407769454627693,0,3,0,6,0,1.0,0,0,1.0,0.7142857142857143,0,0,0,0,3
30,1,131072,6,99.99542236328125,1024,2,512,2,256,3,0.7539822368615503,0,0,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
31,1,131072,1584,98.79150390625,1024,44,512,44,256,36,0.3131851905193152,0,9,0,0,0,0.8535353535353535,0.9267676767676768,0.8358585858585859,1.0,0.7929292929292929,0.9393939393939394,0.9444444444444444,0.9924242424242424,0.6111111111111112,9
32,2,131072,182,99.86114501953125,1024,13,512,13,256,14,0.5376473794860341,1,8,0,0,0,0.945054945054945,0.989010989010989,0.6373626373626373,0.9523809523809523,0.7142857142857143,1.0,0.8333333333333334,0.5714285714285714,1.0,8
32,3,131072,225,99.82833862304688,1024,15,512,15,256,15,0.28239472520449227,0,9,0,0,0,0.9777777777777777,0.9714285714285714,0.8571428571428571,1.0,0.9238095238095239,1.0,0.9387755102040817,0.8163265306122449,0.9795918367346939,9
32,4,131072,462,99.64752197265625,1024,33,512,33,256,14,0.6570465395918897,0,9,0,0,0,0.8311688311688312,1.0,0.974025974025974,0.6517857142857143,1.0,1.0,0.9553571428571429,1.0,1.0,9
32,5,131072,2990,97.71881103515625,1024,65,512,65,256,46,0.18410848370816826,0,9,0,0,0,0.9003344481605351,0.9919732441471572,0.8361204013377926,0.9782608695652174,0.8620923913043478,0.9823369565217391,1.0,1.0,1.0,9
32,6,131072,153,99.88327026367188,1024,17,512,17,256,9,0.20235894176776487,0,9,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96875,9
32,1,131072,198,99.84893798828125,1024,18,512,18,256,11,0.7396377472185245,0,9,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
33,2,131072,660,99.4964599609375,1024,30,512,30,256,22,0.5882997781219369,0,9,0,0,0,0.8651515151515151,0.9090909090909091,0.9757575757575757,0.9787878787878788,0.9,0.9757575757575757,0.9515151515151515,0.8727272727272727,0.9878787878787879,9
33,3,131072,126,99.90386962890625,1024,14,512,14,256,9,0.7143286922155908,0,9,0,0,0,0.9365079365079365,0.8928571428571429,1.0,1.0,0.5873015873015873,0.8214285714285714,1.0,1.0,1.0,9
33,4,131072,304,99.76806640625,1024,38,512,38,256,8,0.27943446785291687,0,9,0,0,0,1.0,1.0,0.993421052631579,0.993421052631579,1.0,1.0,1.0,1.0,1.0,9
33,5,131072,176,99.86572265625,1024,16,512,16,256,11,0.758464070002474,0,9,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
33,6,131072,176,99.86572265625,1024,16,512,16,256,11,0.758464070002474,0,9,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
33,7,131072,238,99.81842041015625,1024,17,512,17,256,14,0.7780427175383671,0,9,0,0,0,0.9957983193277311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
33,8,131072,176,99.86572265625,1024,16,512,16,256,11,0.758464070002474,0,9,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
33,9,131072,28,99.9786376953125,1024,14,512,14,256,2,0.3436116964863836,0,9,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
33,10,131072,187,99.85733032226562,1024,17,512,17,256,11,0.4088745500905174,0,9,0,0,0,0.9732620320855615,0.9176470588235294,1.0,0.8863636363636364,1.0,1.0,1.0,1.0,1.0,9
33,11,131072,728,99.444580078125,1024,28,512,28,256,26,0.3554863843546222,0,9,0,0,0,0.967032967032967,1.0,0.8543956043956044,1.0,0.9725274725274725,1.0,1.0,1.0,0.8461538461538461,9
33,1,131072,121,99.90768432617188,1024,11,512,11,256,11,0.6794855339736683,0,9,0,0,0,1.0,1.0,1.0,1.0,0.9636363636363636,0.84,1.0,1.0,1.0,9
34,2,131072,187,99.85733032226562,1024,17,512,17,256,11,0.7493339620169532,0,9,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
34,3,131072,518,99.60479736328125,1024,37,512,37,256,14,0.6256612820298011,0,9,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
34,4,131072,384,99.70703125,1024,24,512,24,256,16,0.40344121828619145,0,9,0,0,0,0.96875,0.7291666666666666,1.0,1.0,0.7552083333333334,0.6875,1.0,1.0,1.0,9
34,5,131072,176,99.86572265625,1024,16,512,16,256,11,0.758464070002474,0,9,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
34,6,131072,306,99.76654052734375,1024,18,512,18,256,17,0.5036769406899635,0,9,0,0,0,0.9934640522875817,0.7152777777777778,1.0,1.0,0.8235294117647058,0.7777777777777778,1.0,1.0,1.0,9
34,7,131072,342,99.73907470703125,1024,19,512,19,256,18,0.4828993651018427,0,9,0,0,0,0.7573099415204678,1.0,0.8538011695906432,0.9691358024691358,1.0,1.0,0.9753086419753086,0.8518518518518519,1.0,9
34,1,131072,117,99.91073608398438,1024,9,512,9,256,13,0.20121635883840938,0,9,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
35,2,131072,5146,96.07391357421875,1024,62,512,62,256,83,0.08526185193296126,0,9,0,0,0,0.9642440730664594,0.9802867383512545,0.8870967741935484,0.9972794403420132,0.9891177613680529,0.992831541218638,1.0,1.0,1.0,9
35,3,131072,392,99.700927734375,1024,28,512,28,256,14,0.5251585660369407,0,5,1,3,0,0.7576530612244898,0,0.9744897959183674,0.8571428571428571,1.0,0,0,1.0,0.8571428571428571,5
35,1,131072,156,99.8809814453125,1024,39,512,39,256,4,0.21309405303585688,0,9,0,0,0,1.0,1.0,0.9871794871794872,1.0,1.0,1.0,1.0,1.0,1.0,9
4,2,131072,29,99.97787475585938,1024,29,512,29,256,1,0.10122909661567112,0,3,0,6,0,1.0,0,0,1.0,1.0,0,0,0,0,3
4,3,131072,336,99.74365234375,1024,21,512,21,256,16,0.5515877653865733,0,9,0,0,0,0.9970238095238095,0.9940476190476191,1.0,0.9875,1.0,1.0,975,1.0,1.0,9
4,4,131072,57,99.95651245117188,1024,19,512,19,256,3,0.21972006445051953,0,9,0,0,0,1.0,1.0,1.0,1.0,0.9629629629629629,0.7777777777777778,1.0,1.0,1.0,9
4,5,131072,5712,95.64208984375,1024,112,512,112,256,51,0.379434828426045,0,9,0,0,0,0.9236694677871149,0.9589285714285715,0.9989285714285714,0.7843137254901961,1.0,1.0,1.0,1.0,1.0,9
4,6,131072,124,99.9053955078125,1024,62,512,62,256,2,0.049062456303121366,0,9,0,0,0,1.0,1.0,1.0,0.9193548387096774,1.0,1.0,0.8709677419354839,1.0,0.8064516129032258,9
4,7,131072,624,99.52392578125,1024,24,512,24,256,26,0.7635983525584966,0,9,0,0,0,0.8237179487179487,1.0,0.9134615384615384,0.8269230769230769,0.8846153846153846,0.9871794871794872,1.0,1.0,0.7692307692307693,9
4,8,131072,228,99.8260498046875,1024,19,512,19,256,12,0.3897874632407137,0,9,0,0,0,0.9692982456140351,0.9473684210526315,1.0,0.9259259259259259,1.0,1.0,0.9814814814814815,1.0,0.9814814814814815,9
4,9,131072,217,99.83444213867188,1024,31,512,31,256,7,0.26427917160051034,0,9,0,0,0,1.0,1.0,0.7096774193548387,1.0,0.780952380952381,0.8888888888888888,1.0,1.0,1.0,9
4,10,131072,12,99.9908447265625,1024,4,512,4,256,3,0.75220695191671,0,6,0,3,0,1.0,0,1.0,1.0,1.0,0,0,1.0,1.0,6
4,11,131072,567,99.56741333007812,1024,27,512,27,256,21,0.618489731132147,0,6,0,3,0,0.9029982363315696,0,1.0,1.0,0.9926739926739927,0,0,0.9846153846153847,1.0,6
4,1,131072,240,99.81689453125,1024,20,512,20,256,12,0.7363107781851077,0,9,0,0,0,0.9458333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
5,2,131072,369,99.71847534179688,1024,41,512,41,256,9,0.378813650513163,0,9,0,0,0,0.8672086720867209,0.5182926829268293,1.0,0.9611111111111111,1.0,1.0,0.8375,1.0,1.0,9
5,3,131072,560,99.57275390625,1024,28,512,28,256,20,0.741098292541408,0,9,0,0,0,0.8553571428571428,0.9928571428571429,1.0,0.9916666666666667,0.5321428571428571,0.9,1.0,1.0,975,9
5,4,131072,161,99.87716674804688,1024,23,512,23,256,7,0.33758716312322246,0,9,0,0,0,0.9751552795031055,0.5507246376811594,1.0,0.7662337662337663,1.0,1.0,0.5151515151515151,1.0,0.7878787878787878,9
5,5,131072,44,99.9664306640625,1024,11,512,11,256,4,0.25629663821884385,0,6,0,3,0,1.0,0,1.0,1.0,1.0,0,0,1.0,1.0,6
5,1,131072,570,99.56512451171875,1024,38,512,38,256,15,0.3580580545993888,0,9,0,0,0,0.9491228070175438,0.706766917293233,1.0,0.9719298245614035,1.0,0.9849624060150376,1.0,1.0,0.9699248120300752,9
6,2,131072,228,99.8260498046875,1024,19,512,19,256,12,0.5198453174584563,0,9,0,0,0,0.9385964912280702,1.0,0.956140350877193,0.9814814814814815,0.9074074074074074,0.8888888888888888,1.0,1.0,1.0,9
6,3,131072,16,99.98779296875,1024,4,512,4,256,4,0.4847071623539333,0,6,0,3,0,875,0,1.0,1.0,1.0,0,0,1.0,1.0,6
6,1,131072,50,99.96185302734375,1024,10,512,10,256,5,0.40599220566805544,0,8,1,0,0,1.0,0.9,1.0,0.68,1.0,1.0,0.8,1.0,0.8,8
7,2,131072,80,99.93896484375,1024,10,512,10,256,8,0.6282098888638262,1,8,0,0,0,0.8625,0.8,0.9,925,975,1.0,1.0,1.0,1.0,8
7,3,131072,84,99.9359130859375,1024,21,512,21,256,4,0.1543280871002822,0,9,0,0,0,0.9761904761904762,1.0,0.7857142857142857,1.0,0.6,0.9,1.0,0.9,0.75,9
7,4,131072,286,99.78179931640625,1024,26,512,26,256,11,0.6563151927879334,0,9,0,0,0,0.8321678321678322,0.8153846153846154,0.9230769230769231,0.8601398601398601,0.8671328671328671,0.9846153846153847,0.8615384615384616,0.9230769230769231,0.6923076923076923,9
7,5,131072,87,99.93362426757812,1024,29,512,29,256,3,0.18939637282061267,0,2,7,0,0,0.6091954022988506,0.7931034482758621,0.6896551724137931,0.8571428571428571,0.6666666666666666,0.7857142857142857,0.7142857142857143,0.5714285714285714,0.9285714285714286,7
7,6,131072,224,99.8291015625,1024,32,512,32,256,7,0.17787477730479573,0,2,4,3,0,0.5267857142857143,0.5729166666666666,0.84375,0.8928571428571429,0,0,0.6041666666666666,0,1.0,4
7,7,131072,220,99.8321533203125,1024,20,512,20,256,11,0.7191991506657175,0,9,0,0,0,0.9863636363636363,0.96,0.9125,0.9181818181818182,0.9636363636363636,0.92,0.94,875,0.75,9
7,8,131072,170,99.87030029296875,1024,17,512,17,256,10,0.7326073403432988,0,9,0,0,0,0.6823529411764706,0.8,0.8235294117647058,0.95,0.9375,0.75,975,775,1.0,9
7,9,131072,100,99.9237060546875,1024,25,512,25,256,4,0.2699846761296157,0,9,0,0,0,0.88,0.74,1.0,1.0,1.0,1.0,0.7916666666666666,0.9583333333333334,1.0,9
7,10,131072,240,99.81689453125,1024,40,512,40,256,6,0.2392113458225334,0,9,0,0,0,0.8375,0.6916666666666667,0.6666666666666666,0.9416666666666667,0.8833333333333333,1.0,0.85,0.9666666666666667,0.7,9
7,11,131072,148,99.8870849609375,1024,37,512,37,256,4,0.08694591282176924,0,9,0,0,0,0.8986486486486487,0.9594594594594594,0.972972972972973,0.8611111111111112,0.7916666666666666,0.7222222222222222,0.6111111111111112,1.0,0.6944444444444444,9
